cve,repo,commit,status,mensagem,duracao_segundos
CVE-2016-1000229,https://github.com/linxiaowu66/swagger-ui.git,14fad2b4c76efe249db515c98432eb609aa77691,ERRO_FETCH,semgrep 1.171.0; pack sha256 1ddc9b0bd5ad9ee31f4727648cfdd4279317627b859c44ef56d77438a0f8b87b; TIMEOUT_ANALISE=900; TIMEOUT_FETCH=300; TIMEOUT_CLONE=900; clone completo saiu com 128; fetch raso saiu com 128,1
CVE-2016-10735,https://github.com/twbs/bootstrap.git,ba6a6f13691000ffaf22ef8e731513737659447f,OK,18 achados; HEAD conferido,21
CVE-2017-0931,https://github.com/guardian/html-janitor.git,8c99e653a36a85edd740e756d7371ee47a9aee45,SEM_ACHADOS,0 achados; HEAD conferido,18
CVE-2017-1000006,https://github.com/plotly/plotly.js.git,16e0fc29690c82282db91f99e651190afa0a9f87,OK,6 achados; HEAD conferido,31
CVE-2017-1000219,https://github.com/KyleRoss/windows-cpu.git,da656c1a9d5edbf4e8bf0640f349aeb714a4f1a0,SEM_ACHADOS,0 achados; HEAD conferido,19
CVE-2017-1000427,https://github.com/markedjs/marked.git,38f1727ffee0820975677027b8968bc1954e6637,OK,3 achados; HEAD conferido,19
CVE-2017-1001004,https://github.com/josdejong/typed-function.git,9a8cac3cb8ae89fd0a9b3ae2dfde27cd1aa5a60a,OK,1 achados; HEAD conferido,19
CVE-2017-10910,https://github.com/mqttjs/MQTT.js.git,800a4ddaaec80f3289b1aa249bf67584588611ff,OK,5 achados; HEAD conferido,20
CVE-2017-15010,https://github.com/salesforce/tough-cookie.git,fcc8abfa3d3cab4f99da38f3f3749b1b186eb5a4,SEM_ACHADOS,0 achados; HEAD conferido,20
CVE-2017-16003,https://github.com/felixrieseberg/windows-build-tools.git,3a97ea156d07aaccca101ed8f0a1606eea8dfc2d,OK,1 achados; HEAD conferido,18
CVE-2017-16006,https://github.com/jonschlinkert/remarkable.git,a85cf32cd194d7a12d2155256bd38283e431b26b,OK,16 achados; HEAD conferido,20
CVE-2017-16011,https://github.com/jquery/jquery.git,452e32769d514d835988c544492e4083df2bc1d6,OK,15 achados; HEAD conferido,26
CVE-2017-16014,https://github.com/http-party/node-http-proxy.git,0c71119ee58ee84068120be72308ecb28cb3e532,OK,23 achados; HEAD conferido,19
CVE-2017-16018,https://github.com/restify/node-restify.git,893895137b6a54a21ebf88cabe3f275636ef28d7,OK,6 achados; HEAD conferido,20
CVE-2017-16023,https://github.com/sindresorhus/decamelize.git,18479821851414d91ad3d42d8560adff5969da4b,OK,1 achados; HEAD conferido,19
CVE-2017-16026,https://github.com/request/request.git,85f8235c061f8d0d1697066290a34f43120cb77f,OK,1 achados; HEAD conferido,19
CVE-2017-16028,https://github.com/jonschlinkert/randomatic.git,833f31a5aac0b8c2ddd3ae23ab41a0145c2974d0,OK,2 achados; HEAD conferido,19
CVE-2017-16029,https://github.com/henrytseng/hostr.git,5827ba48fd4a08c26604b97798c57d45fe1cd51e,OK,1 achados; HEAD conferido,19
CVE-2017-16030,https://github.com/3rd-Eden/useragent.git,50be8cbd7e3b9cbfeaab041de726b5438d07672e,OK,5 achados; HEAD conferido,27
CVE-2017-16031,https://github.com/socketio/socket.io.git,fe6dd874437ccd13e4753c03d7a98e5382d0b0d5,OK,7 achados; HEAD conferido,20
CVE-2017-16034,https://github.com/soyuka/pidusage.git,e3660d8a8e5e61afad9b02af67356a1e239d6bde,OK,3 achados; HEAD conferido,19
CVE-2017-16042,https://github.com/tj/node-growl.git,dc8aae046df328edd32dd69f3cd2d6b114d7018e,OK,1 achados; HEAD conferido,18
CVE-2017-16043,https://github.com/erming/shout.git,890c751bb624cde53dc392b2c851cdcd056033c6,OK,16 achados; HEAD conferido,37
CVE-2017-16082,https://github.com/brianc/node-postgres.git,51a28c226519daaa3a2a3971128355d0440d3819,OK,3 achados; HEAD conferido,19
CVE-2017-16083,https://github.com/sandy98/node-simple-router.git,91da4299aee0086cc1e0cc837763578af6f82cea,OK,14 achados; HEAD conferido,23
CVE-2017-16084,https://github.com/KoryNunn/list-n-stream.git,87de3f13465e9d4d21eb75be8143cdc4085a19b3,OK,1 achados; HEAD conferido,18
CVE-2017-16087,https://github.com/vvakame/fs-git.git,50b33e3faec0b08183a699efb9b154c0d1495bee,OK,4 achados; HEAD conferido,18
CVE-2017-16098,https://github.com/node-modules/charset.git,5ba8a4942f069d40584cf5a1a7938ff8dc92bcc9,SEM_ACHADOS,0 achados; HEAD conferido,19
CVE-2017-16100,https://github.com/skoranga/node-dns-sync.git,b748fe77a87749d95876028eda8e759109be4c73,OK,1 achados; HEAD conferido,18
CVE-2017-16107,https://github.com/Eeems/PooledWebSocket.git,d51217a285c1dc5851743d0756cc43c35d12737c,SEM_ACHADOS,0 achados; HEAD conferido,19
