cve,repo,commit,status,mensagem,duracao_segundos
CVE-2017-16114,https://github.com/markedjs/marked.git,49b7eaca76d14ccd91f87decc11bbe213a6e0af4,OK,codeql 2.25.4; suite codeql/javascript-queries:codeql-suites/javascript-security-extended.qls; TIMEOUT_CREATE=900; TIMEOUT_ANALYZE=900; TIMEOUT_FETCH=300; TIMEOUT_CLONE=900; 5 achados; HEAD conferido,48
CVE-2017-16117,https://github.com/Trott/node-slug.git,85ded30a95760b19cd223abe668eade0279a21f2,OK,1 achados; HEAD conferido,44
CVE-2017-16118,https://github.com/jshttp/forwarded.git,ad1efeaf2315c1ccd25c1e5bccb21df626c1d12c,OK,1 achados; HEAD conferido,43
CVE-2017-16119,https://github.com/jshttp/fresh.git,ff5f257b575a70fae6268b9283f7d5796bcfde71,OK,1 achados; HEAD conferido,43
CVE-2017-16136,https://github.com/expressjs/method-override.git,5a7d6a1f2f16ba4ec2bbab3d67b98b30e1d8a0fe,OK,1 achados; HEAD conferido,44
CVE-2017-16137,https://github.com/visionmedia/debug.git,47747f329fe159e94262318b52b87a48f6c0acd4,OK,2 achados; HEAD conferido,45
CVE-2017-16138,https://github.com/broofa/node-mime.git,4a375abebfa3900921217daa270302e01a1c67ae,OK,2 achados; HEAD conferido,44
CVE-2017-16224,https://github.com/isaacs/st.git,ae7b6768c1d91dd48b368b2b921193fc2b36cff1,OK,3 achados; HEAD conferido,47
CVE-2017-16226,https://github.com/browserify/static-eval.git,ab81134a43431457508bc2ead500f2d93ac0a71d,SEM_ACHADOS,0 achados; HEAD conferido,44
CVE-2017-16877,https://github.com/zeit/next.js.git,442c611d4956496afc8f32c3bb881f2d37e63960,OK,15 achados; HEAD conferido,55
CVE-2017-17461,https://github.com/markedjs/marked.git,900e50e22a9a8165e6de4df6a91265343fd584d9,OK,3 achados; HEAD conferido,46
CVE-2017-18077,https://github.com/juliangruber/brace-expansion.git,265f6cd6586383eebebbfc3c45da2eaa153d9e63,OK,1 achados; HEAD conferido,44
CVE-2017-18214,https://github.com/moment/moment.git,328d51e7235b7a2d443bfdf69c1844939c115660,OK,21 achados; HEAD conferido,162
CVE-2017-18352,https://github.com/GoogleChrome/rendertron.git,16ade3208c80c3de8f8e36a05ad8242af1eeb7f4,OK,11 achados; HEAD conferido,46
CVE-2017-18353,https://github.com/GoogleChrome/rendertron.git,16ade3208c80c3de8f8e36a05ad8242af1eeb7f4,OK,11 achados; HEAD conferido,46
CVE-2017-18354,https://github.com/GoogleChrome/rendertron.git,16ade3208c80c3de8f8e36a05ad8242af1eeb7f4,OK,11 achados; HEAD conferido,46
CVE-2017-18355,https://github.com/GoogleChrome/rendertron.git,16ade3208c80c3de8f8e36a05ad8242af1eeb7f4,OK,11 achados; HEAD conferido,46
CVE-2017-18635,https://github.com/novnc/noVNC.git,41f476a86357f1404fcca078212c702599bbcc57,OK,12 achados; HEAD conferido,58
CVE-2017-5954,https://github.com/commenthol/serialize-to-js.git,a1e8140ed1a07013f644b5b76025f4eaab7fb9d8,OK,4 achados; HEAD conferido,44
CVE-2018-1000086,https://github.com/nprapps/pym.js.git,4b9016c30a930608e68dcd831176e1d089fab55b,OK,38 achados; HEAD conferido,83
CVE-2018-1000096,https://github.com/brianleroux/tiny-json-http.git,41468a2ba952aa4d59c2fae20a7a7394d3b6d5d7,OK,4 achados; HEAD conferido,45
CVE-2018-1000620,https://github.com/hapijs/cryptiles.git,96e63fd1605d5a85b19281e4741e28568d8c9822,OK,1 achados; HEAD conferido,42
CVE-2018-1002203,https://github.com/ZJONSSON/node-unzipper.git,48bd69eaa3cbd30558bd218327ac103d1457e919,SEM_ACHADOS,0 achados; HEAD conferido,43
CVE-2018-1002204,https://github.com/cthackers/adm-zip.git,e116bc18df51e4e50c493cede82ae7696954b511,OK,3 achados; HEAD conferido,44
CVE-2018-11093,https://github.com/ckeditor/ckeditor5-link.git,992bd11d68e0e6d37b5cb4be36afabe7b4b3e9eb,SEM_ACHADOS,0 achados; HEAD conferido,45
CVE-2018-11615,https://github.com/moscajs/mosca.git,e61f7491519ff69732e91f5afa107cda4c4d271e,OK,4 achados; HEAD conferido,48
CVE-2018-11798,https://github.com/apache/thrift.git,d566da7739c9aae63fe7fc9d267887fa73e5dda7,OK,13 achados; HEAD conferido,52
CVE-2018-13797,https://github.com/scravy/node-macaddress.git,dd079620d11c91957ac897e88d539dfceec41d56,OK,3 achados; HEAD conferido,44
CVE-2018-13863,https://github.com/mongodb/js-bson.git,e403bd94faadee80cd82bae888e28b8b4d6d1e8d,OK,5 achados; HEAD conferido,60
CVE-2018-14040,https://github.com/twbs/bootstrap.git,13bf8aeae3db71e28af69782328c22215795c169,OK,12 achados; HEAD conferido,79
