cve,repo,commit,status,mensagem,duracao_segundos
CVE-2018-14041,https://github.com/twbs/bootstrap.git,149096016f70fd815540d62c0989fd99cdc809e0,OK,semgrep 1.171.0; pack sha256 1ddc9b0bd5ad9ee31f4727648cfdd4279317627b859c44ef56d77438a0f8b87b; TIMEOUT_ANALISE=900; TIMEOUT_FETCH=300; TIMEOUT_CLONE=900; 8 achados; HEAD conferido,21
CVE-2018-14042,https://github.com/twbs/bootstrap.git,13bf8aeae3db71e28af69782328c22215795c169,OK,119 achados; HEAD conferido,22
CVE-2018-14380,https://github.com/Graylog2/graylog2-server.git,f4a6bf94bc084e58afc730881c1a746408e1f574,OK,22 achados; HEAD conferido,62
CVE-2018-16460,https://github.com/UmbraEngineering/ps.git,facfbce24c0dc5505edbae759f4bb991f2724979,OK,1 achados; HEAD conferido,18
CVE-2018-16461,https://github.com/jas-/node-libnmap.git,49b72239b144ab7ffdf673b62e18bfd0760948f6,SEM_ACHADOS,0 achados; HEAD conferido,18
CVE-2018-16462,https://github.com/vincentmorneau/apex-publish-static-files.git,8d28fe8a9a49e5ff3f61e239293b5646528e2915,OK,1 achados; HEAD conferido,19
CVE-2018-16472,https://github.com/ashaffer/cached-path-relative.git,a63061a1c92cab1a9fd0e938fceeac26fedf30c4,SEM_ACHADOS,0 achados; HEAD conferido,18
CVE-2018-16478,https://github.com/tikonen/blog.git,08ab167d21ca55e6bb5599fdd599e888c8cc667c,OK,17 achados; HEAD conferido,20
CVE-2018-16479,https://github.com/prahladyeri/http-live-simulator.git,8e85a1be562248d0d616c0e5092a3d71bbf5fe5f,OK,1 achados; HEAD conferido,18
CVE-2018-16480,https://github.com/tnantoka/public.git,6d152eb12b368df70c789aba84d27d01b854ee47,OK,1 achados; HEAD conferido,18
CVE-2018-16484,https://github.com/nunnly/m-server.git,e4bf390a3a9180ba2298f3d68bc16d9a69187703,OK,4 achados; HEAD conferido,18
CVE-2018-16485,https://github.com/nunnly/m-server.git,3fcc6771fb14e8452ca80364f5900af362df316f,OK,4 achados; HEAD conferido,18
CVE-2018-16487,https://github.com/lodash/lodash.git,67389a8c78975d97505fa15aa79bec6397749807,OK,25 achados; HEAD conferido,36
CVE-2018-16489,https://github.com/angus-c/just.git,f5549c99e72a6307ba9846e553db5a9aeef36d86,OK,5 achados; HEAD conferido,20
CVE-2018-16490,https://github.com/aheckmann/mpath.git,77204d7e5b0adb2100e862069a3c20d073df8f06,OK,3 achados; HEAD conferido,18
CVE-2018-16491,https://github.com/dreamerslab/node.extend.git,91713698d86df0bad356f13ae2e68af7f226bce9,OK,1 achados; HEAD conferido,18
CVE-2018-16492,https://github.com/justmoon/node-extend.git,a689700740b44846e76f8f1dc4bdf230a2cb5c0d,OK,1 achados; HEAD conferido,18
CVE-2018-18282,https://github.com/zeit/next.js.git,ae56c7847f32173c0c6954a124fdaa749d44b5dc,OK,61 achados; HEAD conferido,28
CVE-2018-19048,https://github.com/mycolorway/simditor.git,65d78cbfcb576f8963ba26a991c33d746be5add7,OK,13 achados; HEAD conferido,25
CVE-2018-20164,https://github.com/ua-parser/uap-core.git,4e97f111af71597d038eff1730fb8d7e4f4e7ae4,SEM_ACHADOS,0 achados; HEAD conferido,19
CVE-2018-20676,https://github.com/twbs/bootstrap.git,13bf8aeae3db71e28af69782328c22215795c169,OK,119 achados; HEAD conferido,22
CVE-2018-20677,https://github.com/twbs/bootstrap.git,13bf8aeae3db71e28af69782328c22215795c169,OK,119 achados; HEAD conferido,21
CVE-2018-20801,https://github.com/highcharts/highcharts.git,9bcb40d7cb6acb7f63345dfe3625378b91cd243a,OK,5850 achados; HEAD conferido,202
CVE-2018-20834,https://github.com/npm/node-tar.git,58a8d437abccd6dc884541b8bf6554901ec592cc,OK,17 achados; HEAD conferido,20
CVE-2018-20835,https://github.com/mafintosh/tar-fs.git,7b4ab17e950832cfd3e67421e48898fdb50318fc,OK,17 achados; HEAD conferido,18
CVE-2018-21036,https://github.com/balderdashy/sails-hook-sockets.git,4f78b7946f7a7ac4c762936d7633298606c1e4a7,OK,12 achados; HEAD conferido,19
CVE-2018-3712,https://github.com/zeit/serve.git,ce95709c74873040308c88771821bfdaa569be52,SEM_ACHADOS,0 achados; HEAD conferido,18
CVE-2018-3713,https://github.com/simonh1000/angular-http-server.git,c1b677f493cc97cb63bbda1887d2a9d1b2bd4732,OK,3 achados; HEAD conferido,18
CVE-2018-3718,https://github.com/zeit/serve.git,2fece040fb87fed1afcb41c58afd8824482ee15e,SEM_ACHADOS,0 achados; HEAD conferido,18
CVE-2018-3719,https://github.com/jonschlinkert/mixin-deep.git,7705bdf88ff0263242c07c824d20526203876668,SEM_ACHADOS,0 achados; HEAD conferido,18
