cve,repo,commit,status,mensagem,duracao_segundos
CVE-2019-1010091,https://github.com/tinymce/tinymce.git,8b29e00959cf37cbc9642178e686aea688a162ee,OK,semgrep 1.171.0; pack sha256 1ddc9b0bd5ad9ee31f4727648cfdd4279317627b859c44ef56d77438a0f8b87b; TIMEOUT_ANALISE=900; TIMEOUT_FETCH=300; TIMEOUT_CLONE=900; 75 achados; HEAD conferido,32
CVE-2019-1010266,https://github.com/lodash/lodash.git,90e6199a161b6445b01454517b40ef65ebecd2ad,OK,25 achados; HEAD conferido,25
CVE-2019-1020012,https://github.com/parse-community/parse-server.git,54ba9a0f00eaeb7d8c0938dd555f913d58a5fdcd,OK,23 achados; HEAD conferido,28
CVE-2019-10742,https://github.com/axios/axios.git,047501f7083665e0924f2680846fd8721e6de50d,OK,17 achados; HEAD conferido,13
CVE-2019-10744,https://github.com/lodash/lodash.git,1f8ea07746963a535385a5befc19fa687a627d2b,OK,25 achados; HEAD conferido,25
CVE-2019-10745,https://github.com/jonschlinkert/assign-deep.git,edab79f1fe37bb8f78f4d7a4fe205c66885acee3,OK,1 achados; HEAD conferido,13
CVE-2019-10746,https://github.com/jonschlinkert/mixin-deep.git,9925af763440a50891358d00db0e6a5accc50ee6,OK,1 achados; HEAD conferido,12
CVE-2019-10747,https://github.com/jonschlinkert/set-value.git,7bd5011d82e583305a191a9a062abfe177ec29ad,OK,1 achados; HEAD conferido,13
CVE-2019-10750,https://github.com/alexindigo/deeply.git,d9f59eec37b75ce52038b3fcfb0fd86d4989c0c1,SEM_ACHADOS,0 achados; HEAD conferido,12
CVE-2019-10757,https://github.com/knex/knex.git,516b0747901c1d3efb4097bb89f2f7bce7e7ba36,OK,40 achados; HEAD conferido,15
CVE-2019-10758,https://github.com/mongo-express/mongo-express.git,510a6e78e35a67251d5c53ca680ed3b5c6c259a7,OK,27 achados; HEAD conferido,15
CVE-2019-10759,https://github.com/commenthol/safer-eval.git,1ff9411b4099e71798cfd822d5b0a536b39f31d5,OK,1 achados; HEAD conferido,12
CVE-2019-10761,https://github.com/patriksimek/vm2.git,2ac8ff254a71e516e83f6496635fa61420447fa9,OK,3 achados; HEAD conferido,13
CVE-2019-10765,https://github.com/ioBroker/ioBroker.admin.git,9872f452fce58031e8e623d37b7d396386baa9b7,OK,68 achados; HEAD conferido,61
CVE-2019-10767,https://github.com/ioBroker/ioBroker.js-controller.git,fbdbfbdb766490db65cde0b0ca5dd46221c5a912,OK,180 achados; HEAD conferido,62
CVE-2019-10771,https://github.com/ioBroker/ioBroker.web.git,652fc0ecf77740c13e6b83d1b0c1bd8b2b0b09f5,OK,27 achados; HEAD conferido,28
CVE-2019-10775,https://github.com/jfhbrook/node-ecstatic.git,dd29df2cedbde4903909ed206acb62dd29782aa7,OK,17 achados; HEAD conferido,13
CVE-2019-10776,https://github.com/kellyselden/git-diff-apply.git,bfcc903a961d9f17bde1889cf49745a2dffefd73,OK,7 achados; HEAD conferido,12
CVE-2019-10777,https://github.com/awspilot/cli-lambda-deploy.git,3621b27347bdff96b5f444c0e31eba06e527005c,OK,8 achados; HEAD conferido,13
CVE-2019-10778,https://github.com/guybedford/devcert.git,651bb8ebb97a029be13656c0476d48db85887451,OK,14 achados; HEAD conferido,12
CVE-2019-10781,https://github.com/Atinux/schema-inspector.git,7f67b2a95f85ecb76d0dc5326d76d082a2b99e1f,OK,1 achados; HEAD conferido,13
CVE-2019-10785,https://github.com/dojo/dojox.git,d6b93d9e76752363a402bef31473ce2d2ae356d7,OK,162 achados; HEAD conferido,58
CVE-2019-11358,https://github.com/jquery/jquery.git,669f720edc4f557dfef986db747c09ebfaa16ef5,OK,14 achados; HEAD conferido,20
CVE-2019-12041,https://github.com/probablyup/markdown-to-jsx.git,9570018bac22c759899be839089cc33d3d739af0,OK,5 achados; HEAD conferido,22
CVE-2019-12043,https://github.com/jonschlinkert/remarkable.git,4ad13a078a8d9a7712b4992b4ba868db81b6f75a,OK,14 achados; HEAD conferido,14
CVE-2019-12313,https://github.com/dollarshaveclub/shave.git,0e0365d5f1b0d175b0c5ccf4abd040884ce0d8aa,OK,3 achados; HEAD conferido,12
CVE-2019-13127,https://github.com/jgraph/mxgraph.git,33911ed7e055c17b74d0367f5f1f6c9ee4b4fd44,OK,1095 achados; HEAD conferido,101
CVE-2019-13173,https://github.com/npm/fstream.git,1e4527ffe8688d4f5325283d7cf2cf2d61f14c6b,OK,12 achados; HEAD conferido,13
CVE-2019-13506,https://github.com/Rich-Harris/devalue.git,751ed46deb404f5ed5d3ed49ee400903792530d5,SEM_ACHADOS,0 achados; HEAD conferido,13
CVE-2019-14772,https://github.com/verdaccio/verdaccio.git,0b1b3556d9c043857f9bb789197f6d012876e484,OK,18 achados; HEAD conferido,15
