cve,repo,commit,status,mensagem,duracao_segundos
CVE-2019-14862,https://github.com/knockout/knockout.git,4d63fceb26acc6de6cdae25bbe12bad57ba2c6f6,OK,codeql 2.25.4; suite codeql/javascript-queries:codeql-suites/javascript-security-extended.qls; TIMEOUT_CREATE=900; TIMEOUT_ANALYZE=900; TIMEOUT_FETCH=300; TIMEOUT_CLONE=900; 15 achados; HEAD conferido,64
CVE-2019-15478,https://github.com/jameswlane/status-board.git,115ccc389749a7a946d4e60563f1791ee2f39f7d,OK,7 achados; HEAD conferido,64
CVE-2019-15479,https://github.com/jameswlane/status-board.git,115ccc389749a7a946d4e60563f1791ee2f39f7d,OK,7 achados; HEAD conferido,63
CVE-2019-15482,https://github.com/SLMNBJ/selectize-plugin-a11y.git,0824359781d57f1e629c866584e1c64e03ceae6f,OK,3 achados; HEAD conferido,43
CVE-2019-15532,https://github.com/gchq/CyberChef.git,38ff7ec89f595dbe5971c3577fa29a142b4b2416,OK,21 achados; HEAD conferido,70
CVE-2019-15657,https://github.com/mysticatea/eslint-utils.git,587cca2f82c245f5fc4a8b9fb2cf6b35c0d02552,SEM_ACHADOS,0 achados; HEAD conferido,46
CVE-2019-15658,https://github.com/voxpelli/node-connect-pg-simple.git,5779bd26e7374028771141366b419a13778c84a6,OK,2 achados; HEAD conferido,45
CVE-2019-15782,https://github.com/webtorrent/webtorrent.git,885a20066363c88563aa02931c3c43da5c1a1868,OK,6 achados; HEAD conferido,52
CVE-2019-16763,https://github.com/mpetroff/pannellum.git,f42e80facb41bb97321a0e2056d9ef5a4779e627,OK,27 achados; HEAD conferido,52
CVE-2019-16769,https://github.com/yahoo/serialize-javascript.git,3bab6dee8db7317310a97af5d28f0f0479d21930,OK,1 achados; HEAD conferido,44
CVE-2019-17495,https://github.com/swagger-api/swagger-ui.git,c8ad396301ca55075234009e8384ca968b950aab,OK,4 achados; HEAD conferido,57
CVE-2019-17592,https://github.com/adaltas/node-csv-parse.git,76d96e16b166f745bcb137f0535724f4d3584f1c,SEM_ACHADOS,0 achados; HEAD conferido,46
CVE-2019-18350,https://github.com/ant-design/ant-design-pro.git,0ad1fb3109f9864fc728bd7c6ebcb99e248d9f25,OK,8 achados; HEAD conferido,50
CVE-2019-18818,https://github.com/strapi/strapi.git,10e39516b6abbcfd3beed22a14e66b0afab5adf6,OK,5 achados; HEAD conferido,98
CVE-2019-18954,https://github.com/NetEase/pomelo.git,c5347270b63efc888ba8260f612e2636412ae557,OK,2 achados; HEAD conferido,52
CVE-2019-19507,https://github.com/manvel-khnkoyan/jpv.git,e93d2f68126f837707427ff6019c448611fe1a1b,SEM_ACHADOS,0 achados; HEAD conferido,43
CVE-2019-20149,https://github.com/jonschlinkert/kind-of.git,4da96c0047906d22a4d6964a668d3abaca122e50,SEM_ACHADOS,0 achados; HEAD conferido,42
CVE-2019-20174,https://github.com/auth0/lock.git,ecd249397d611fcfc381e6e00e51c8ecdb37d1ad,OK,9 achados; HEAD conferido,57
CVE-2019-5413,https://github.com/expressjs/morgan.git,eb1968ac69a3d1ad98bacd06b738e9125630c3d3,OK,2 achados; HEAD conferido,44
CVE-2019-5414,https://github.com/tiaanduplessis/kill-port.git,6963218ea712c60f3c165567abc8441905f28384,OK,4 achados; HEAD conferido,42
CVE-2019-5423,https://github.com/prahladyeri/http-live-simulator.git,8e85a1be562248d0d616c0e5092a3d71bbf5fe5f,OK,6 achados; HEAD conferido,44
CVE-2019-5444,https://github.com/ChristoPy/serve-here.js.git,ad077637bf7a9fe0dee3262f011aed19a45ce92c,OK,5 achados; HEAD conferido,43
CVE-2019-5479,https://github.com/larvit/larvitbase-api.git,9c274f96e113ff9479fce7a6da8bc5cefb5f5d78,SEM_ACHADOS,0 achados; HEAD conferido,42
CVE-2019-5483,https://github.com/senecajs/seneca.git,f505dc6dd375c1837e12ffa359f118a082d114f4,OK,4 achados; HEAD conferido,54
CVE-2019-5484,https://github.com/bower/bower.git,4f68fc7daa4d6f0a3dfd0da2afdbb8f0b87558af,OK,11 achados; HEAD conferido,61
CVE-2019-8331,https://github.com/twbs/bootstrap.git,bf2515ae68f1d89e8b795478aec90f8db61159e5,OK,11 achados; HEAD conferido,59
CVE-2019-8903,https://github.com/totaljs/framework.git,e2f38981c2cbd5c8edb540e031626fa1017edef6,OK,61 achados; HEAD conferido,79
CVE-2019-9844,https://github.com/Khan/simple-markdown.git,74c304d65ca77fdf5357398d893a6a498c78193f,OK,11 achados; HEAD conferido,47
CVE-2020-11021,https://github.com/actions/http-client.git,cde0b32926ae7938c148121d11271f4cb1f5a57f,SEM_ACHADOS,0 achados; HEAD conferido,43
CVE-2020-11022,https://github.com/jquery/jquery.git,04bf577e2f961c9dde85ddadc77f71bc7bc671cc,OK,13 achados; HEAD conferido,95
