cve,repo,commit,status,mensagem,duracao_segundos
CVE-2020-11059,https://github.com/ipfs/aegir.git,0554d925af93ed9cc9355202769fa6bc2947943e,OK,semgrep 1.171.0; pack sha256 1ddc9b0bd5ad9ee31f4727648cfdd4279317627b859c44ef56d77438a0f8b87b; TIMEOUT_ANALISE=900; TIMEOUT_FETCH=300; TIMEOUT_CLONE=900; 16 achados; HEAD conferido,19
CVE-2020-11079,https://github.com/skoranga/node-dns-sync.git,93b8034e9475ae65102dac15fffe065616fede1b,OK,1 achados; HEAD conferido,18
CVE-2020-12265,https://github.com/kevva/decompress.git,74a462a139cc2561b6695e696266c8dc31562d3d,OK,3 achados; HEAD conferido,18
CVE-2020-14000,https://github.com/LLK/scratch-vm.git,b67ba75d8b1df4268a9d6727bbc4f32f153c9131,OK,9 achados; HEAD conferido,26
CVE-2020-15092,https://github.com/NUKnightLab/TimelineJS3.git,d3b01141fb00a64233d9fc089c917864c1cd4712,OK,157 achados; HEAD conferido,48
CVE-2020-15095,https://github.com/npm/cli.git,479e45c03be7b452cbe346e96c750d36597c3eb6,OK,128 achados; HEAD conferido,28
CVE-2020-15119,https://github.com/auth0/lock.git,195b5d20ba57060252318fa82135c9fc11a41d9c,OK,24 achados; HEAD conferido,23
CVE-2020-15123,https://github.com/codecov/codecov-node.git,5f6cc62d4f83bf3a75c973868259798814cd231e,OK,2 achados; HEAD conferido,19
CVE-2020-15135,https://github.com/Neztore/save-server.git,ab7f29a8acb0812b2c65d0683966e4ffd849cb23,OK,20 achados; HEAD conferido,19
CVE-2020-15138,https://github.com/PrismJS/prism.git,158caf52343e59a66c2351ff1d83648efe871e33,OK,49 achados; HEAD conferido,28
CVE-2020-15152,https://github.com/autovance/ftp-srv.git,296573ae017d137a0b4268a96ea45b753bd66305,OK,6 achados; HEAD conferido,19
CVE-2020-15156,https://github.com/psychobunny/nodebb-plugin-blog-comments.git,ed0156594a44c6429743e314e9b5a313fad60730,OK,25 achados; HEAD conferido,19
CVE-2020-15256,https://github.com/mariocasciaro/object-path.git,404223bc2d6c1cf4dc9cd96a7af8dd6a0e851651,OK,1 achados; HEAD conferido,19
CVE-2020-26226,https://github.com/semantic-release/semantic-release.git,63fa143023aa3b54e9a9231c7625549ef4d7f17a,OK,2 achados; HEAD conferido,19
CVE-2020-26256,https://github.com/C2FO/fast-csv.git,1d18b894236687a5865ea70647010c1697a61d6d,OK,13 achados; HEAD conferido,23
CVE-2020-27666,https://github.com/strapi/strapi.git,4d00bc09b8bd7c0938e2d54f480d503560fcb45e,OK,301 achados; HEAD conferido,61
CVE-2020-4051,https://github.com/dojo/dijit.git,d7294be76dd7b251980fe033b1901fa4135f4f4a,OK,17 achados; HEAD conferido,30
CVE-2020-4059,https://github.com/mikaelbr/mversion.git,04df60b7e4e5f6068519dee9d1675de3485b0277,OK,10 achados; HEAD conferido,18
CVE-2020-4066,https://github.com/erelsgl/limdu.git,92c045d30de99fd490627d0c4b441d532b0e4a83,OK,5 achados; HEAD conferido,19
CVE-2020-5251,https://github.com/parse-community/parse-server.git,bde8ab6d55e4da556d0e77eb29d4953ca34eeace,OK,31 achados; HEAD conferido,48
CVE-2020-5258,https://github.com/dojo/dojo.git,35d1141221f9885682c067abae296393e611e968,OK,40 achados; HEAD conferido,36
CVE-2020-6836,https://github.com/handsontable/formula-parser.git,944136096f44ff4ffd4ba0bcef30970ca4702fce,OK,2 achados; HEAD conferido,19
CVE-2020-7638,https://github.com/davideicardi/confinit.git,d6c022c35aaee0794494651a4341fadd2db2b471,OK,8 achados; HEAD conferido,18
CVE-2020-7656,https://github.com/jquery/jquery.git,c27dc018e22260b6ad084dff4505172e6b107178,OK,15 achados; HEAD conferido,25
CVE-2020-7660,https://github.com/yahoo/serialize-javascript.git,1ac487ed828762eb490ad87022b6b354e0772284,SEM_ACHADOS,0 achados; HEAD conferido,18
CVE-2020-7662,https://github.com/faye/websocket-extensions-node.git,4a76c75efb1c5d6a2f60550e9501757458d19533,SEM_ACHADOS,0 achados; HEAD conferido,19
CVE-2020-7676,https://github.com/angular/angular.js.git,295213df9537666254626ffe3e4a6013122e4802,OK,160 achados; HEAD conferido,50
CVE-2020-7699,https://github.com/richardgirges/express-fileupload.git,e9848fc1b5c92e175adb18afa0850f6e7dfc0b5c,OK,4 achados; HEAD conferido,19
CVE-2020-7720,https://github.com/digitalbazaar/forge.git,30d560c6b522b9a97a67d9101ecf8f860a4ba63a,OK,12 achados; HEAD conferido,25
CVE-2020-7750,https://github.com/LLK/scratch-svg-renderer.git,16974b462c02b2915db728f75eaf682559c50a0b,SEM_ACHADOS,0 achados; HEAD conferido,19
