check_id,languages,js_ts
bash.curl.security.curl-eval.curl-eval,bash,nao
bash.curl.security.curl-pipe-bash.curl-pipe-bash,bash,nao
bash.lang.security.ifs-tampering.ifs-tampering,bash,nao
c.lang.security.insecure-use-gets-fn.insecure-use-gets-fn,c,nao
c.lang.security.insecure-use-scanf-fn.insecure-use-scanf-fn,c,nao
c.lang.security.insecure-use-strtok-fn.insecure-use-strtok-fn,c,nao
c.lang.security.random-fd-exhaustion.random-fd-exhaustion,c,nao
clojure.lang.security.documentbuilderfactory-xxe.documentbuilderfactory-xxe,clojure,nao
clojure.lang.security.use-of-md5.use-of-md5,clojure,nao
clojure.lang.security.use-of-sha1.use-of-sha1,clojure,nao
csharp.dotnet.security.audit.mass-assignment.mass-assignment,csharp,nao
csharp.dotnet.security.mvc-missing-antiforgery.mvc-missing-antiforgery,csharp,nao
csharp.dotnet.security.net-webconfig-debug.net-webconfig-debug,generic,nao
csharp.dotnet.security.net-webconfig-trace-enabled.net-webconfig-trace-enabled,generic,nao
csharp.dotnet.security.razor-template-injection.razor-template-injection,csharp,nao
csharp.dotnet.security.use_ecb_mode.use_ecb_mode,csharp,nao
csharp.dotnet.security.use_weak_rng_for_keygeneration.use_weak_rng_for_keygeneration,csharp,nao
csharp.dotnet.security.web-config-insecure-cookie-settings.web-config-insecure-cookie-settings,generic,nao
csharp.lang.security.ad.jwt-tokenvalidationparameters-no-expiry-validation.jwt-tokenvalidationparameters-no-expiry-validation,csharp,nao
csharp.lang.security.cryptography.x509-subject-name-validation.X509-subject-name-validation,csharp,nao
csharp.lang.security.filesystem.unsafe-path-combine.unsafe-path-combine,csharp,nao
csharp.lang.security.http.http-listener-wildcard-bindings.http-listener-wildcard-bindings,c#,nao
csharp.lang.security.injections.os-command.os-command-injection,csharp,nao
csharp.lang.security.insecure-deserialization.binary-formatter.insecure-binaryformatter-deserialization,c#,nao
csharp.lang.security.insecure-deserialization.data-contract-resolver.data-contract-resolver,c#,nao
csharp.lang.security.insecure-deserialization.fast-json.insecure-fastjson-deserialization,c#,nao
csharp.lang.security.insecure-deserialization.fs-pickler.insecure-fspickler-deserialization,c#,nao
csharp.lang.security.insecure-deserialization.insecure-typefilterlevel-full.insecure-typefilterlevel-full,c#,nao
csharp.lang.security.insecure-deserialization.javascript-serializer.insecure-javascriptserializer-deserialization,c#,nao
csharp.lang.security.insecure-deserialization.los-formatter.insecure-losformatter-deserialization,c#,nao
csharp.lang.security.insecure-deserialization.net-data-contract.insecure-netdatacontract-deserialization,c#,nao
csharp.lang.security.insecure-deserialization.newtonsoft.insecure-newtonsoft-deserialization,csharp,nao
csharp.lang.security.insecure-deserialization.soap-formatter.insecure-soapformatter-deserialization,c#,nao
csharp.lang.security.memory.memory-marshal-create-span.memory-marshal-create-span,c#,nao
csharp.lang.security.regular-expression-dos.regular-expression-dos-infinite-timeout.regular-expression-dos-infinite-timeout,c#,nao
csharp.lang.security.regular-expression-dos.regular-expression-dos.regular-expression-dos,c#,nao
csharp.lang.security.sqli.csharp-sqli.csharp-sqli,csharp,nao
csharp.lang.security.ssrf.http-client.ssrf,csharp,nao
csharp.lang.security.ssrf.rest-client.ssrf,csharp,nao
csharp.lang.security.ssrf.web-client.ssrf,csharp,nao
csharp.lang.security.ssrf.web-request.ssrf,csharp,nao
csharp.lang.security.stacktrace-disclosure.stacktrace-disclosure,csharp,nao
csharp.lang.security.xxe.xmldocument-unsafe-parser-override.xmldocument-unsafe-parser-override,csharp,nao
csharp.lang.security.xxe.xmlreadersettings-unsafe-parser-override.xmlreadersettings-unsafe-parser-override,csharp,nao
csharp.lang.security.xxe.xmltextreader-unsafe-defaults.xmltextreader-unsafe-defaults,csharp,nao
dockerfile.audit.dockerfile-pip-extra-index-url.dockerfile-pip-extra-index-url,dockerfile,nao
dockerfile.security.dockerd-socket-mount.dockerfile-dockerd-socket-mount,dockerfile|yaml,nao
dockerfile.security.last-user-is-root.last-user-is-root,dockerfile,nao
dockerfile.security.missing-user-entrypoint.missing-user-entrypoint,dockerfile,nao
dockerfile.security.missing-user.missing-user,dockerfile,nao
dockerfile.security.no-sudo-in-dockerfile.no-sudo-in-dockerfile,dockerfile,nao
generic.ci.security.bash-reverse-shell.bash_reverse_shell,generic,nao
generic.nginx.security.alias-path-traversal.alias-path-traversal,generic,nao
generic.nginx.security.dynamic-proxy-host.dynamic-proxy-host,generic,nao
generic.nginx.security.dynamic-proxy-scheme.dynamic-proxy-scheme,generic,nao
generic.nginx.security.header-injection.header-injection,generic,nao
generic.nginx.security.header-redefinition.header-redefinition,generic,nao
generic.nginx.security.insecure-redirect.insecure-redirect,generic,nao
generic.nginx.security.insecure-ssl-version.insecure-ssl-version,generic,nao
generic.nginx.security.missing-internal.missing-internal,generic,nao
generic.nginx.security.missing-ssl-version.missing-ssl-version,generic,nao
generic.nginx.security.possible-h2c-smuggling.possible-nginx-h2c-smuggling,generic,nao
generic.secrets.security.detected-amazon-mws-auth-token.detected-amazon-mws-auth-token,regex,nao
