cve,ferramenta,no_denominador,motivo_fora_denominador,status_campanha,tratado_presente,nivel_0,nivel_1,nivel_2_generosa,nivel_2_estrita,nivel_3,nivel_4_generosa,nivel_4_estrita,estrita_aplicavel,achados_no_arquivo_gt,distancia_min_linha,distancia_min_intervalo,gt_file_scanned,gt_cwe_primary,gt_cwes
CVE-2016-1000229,codeql,false,codigo_indisponivel_repositorio_inexistente,ERRO_FETCH,false,,,,,,,,,,,,,CWE-079,CWE-079|CWE-116
CVE-2016-1000229,semgrep,false,codigo_indisponivel_repositorio_inexistente,ERRO_FETCH,false,,,,,,,,,,,,,CWE-079,CWE-079|CWE-116
CVE-2016-1000229,snyk-code,false,codigo_indisponivel_repositorio_inexistente,ERRO_FETCH,false,,,,,,,,,,,,,CWE-079,CWE-079|CWE-116
CVE-2016-10735,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-079,CWE-079|CWE-116
CVE-2016-10735,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,1,27,27,true,CWE-079,CWE-079|CWE-116
CVE-2016-10735,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2017-0931,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2017-0931,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2017-0931,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2017-1000006,codeql,true,,OK,true,true,true,true,true,false,false,false,true,1,218,218,true,CWE-079,CWE-079|CWE-116|CWE-020
CVE-2017-1000006,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116|CWE-020
CVE-2017-1000006,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116|CWE-020
CVE-2017-1000219,codeql,true,,OK,true,true,true,true,true,false,false,false,true,1,1,1,true,CWE-078,CWE-078|CWE-088
CVE-2017-1000219,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-078,CWE-078|CWE-088
CVE-2017-1000219,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-078,CWE-078|CWE-088
CVE-2017-1000427,codeql,true,,OK,true,true,true,true,true,true,true,true,true,3,0,0,true,CWE-020,CWE-020
CVE-2017-1000427,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,3,236,236,true,CWE-020,CWE-020
CVE-2017-1000427,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-020,CWE-020
CVE-2017-1001004,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-094,CWE-094|CWE-079|CWE-116
CVE-2017-1001004,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-094,CWE-094|CWE-079|CWE-116
