categoria,n,acima_do_limiar,ferramenta,nivel,acertos,base,nao_se_aplica,taxa,wilson_inf,wilson_sup
CWE-079,47,sim,codeql,0,45,47,0,0.9574,0.8575,0.9883
CWE-079,47,sim,codeql,1,24,47,0,0.5106,0.3724,0.6472
CWE-079,47,sim,codeql,2g,23,47,0,0.4894,0.3528,0.6276
CWE-079,47,sim,codeql,2e,23,47,0,0.4894,0.3528,0.6276
CWE-079,47,sim,codeql,3,18,47,0,0.3830,0.2579,0.5257
CWE-079,47,sim,codeql,4g,18,47,0,0.3830,0.2579,0.5257
CWE-079,47,sim,codeql,4e,18,47,0,0.3830,0.2579,0.5257
CWE-079,47,sim,semgrep,0,43,47,0,0.9149,0.8007,0.9664
CWE-079,47,sim,semgrep,1,17,47,0,0.3617,0.2397,0.5046
CWE-079,47,sim,semgrep,2g,7,47,0,0.1489,0.0741,0.2769
CWE-079,47,sim,semgrep,2e,6,47,0,0.1277,0.0598,0.2517
CWE-079,47,sim,semgrep,3,6,47,0,0.1277,0.0598,0.2517
CWE-079,47,sim,semgrep,4g,6,47,0,0.1277,0.0598,0.2517
CWE-079,47,sim,semgrep,4e,6,47,0,0.1277,0.0598,0.2517
CWE-079,47,sim,snyk-code,0,38,47,0,0.8085,0.6746,0.8958
CWE-079,47,sim,snyk-code,1,11,47,0,0.2340,0.1360,0.3722
CWE-079,47,sim,snyk-code,2g,5,47,0,0.1064,0.0463,0.2259
CWE-079,47,sim,snyk-code,2e,5,47,0,0.1064,0.0463,0.2259
CWE-079,47,sim,snyk-code,3,8,47,0,0.1702,0.0889,0.3014
CWE-079,47,sim,snyk-code,4g,4,47,0,0.0851,0.0336,0.1993
CWE-079,47,sim,snyk-code,4e,4,47,0,0.0851,0.0336,0.1993
CWE-022,29,sim,codeql,0,22,29,0,0.7586,0.5789,0.8778
CWE-022,29,sim,codeql,1,17,29,0,0.5862,0.4074,0.7449
CWE-022,29,sim,codeql,2g,14,29,0,0.4828,0.3139,0.6557
CWE-022,29,sim,codeql,2e,14,29,0,0.4828,0.3139,0.6557
CWE-022,29,sim,codeql,3,15,29,0,0.5172,0.3443,0.6861
CWE-022,29,sim,codeql,4g,13,29,0,0.4483,0.2841,0.6245
CWE-022,29,sim,codeql,4e,13,29,0,0.4483,0.2841,0.6245
CWE-022,29,sim,semgrep,0,24,29,0,0.8276,0.6545,0.9240
CWE-022,29,sim,semgrep,1,22,29,0,0.7586,0.5789,0.8778
CWE-022,29,sim,semgrep,2g,16,29,0,0.5517,0.3755,0.7159
CWE-022,29,sim,semgrep,2e,16,29,0,0.5517,0.3755,0.7159
CWE-022,29,sim,semgrep,3,2,29,0,0.0690,0.0191,0.2196
CWE-022,29,sim,semgrep,4g,2,29,0,0.0690,0.0191,0.2196
CWE-022,29,sim,semgrep,4e,2,29,0,0.0690,0.0191,0.2196
