cve,repositorio,url,commit_vulneravel,cwes,cwe_primario,arquivo,linhas,situacao,descricao
CVE-2016-10735,twbs/bootstrap,https://github.com/twbs/bootstrap.git,ba6a6f13691000ffaf22ef8e731513737659447f,CWE-079|CWE-116,CWE-079,js/src/util.js,120,analisado,DOM text reinterpreted as HTML
CVE-2016-1000229,linxiaowu66/swagger-ui,https://github.com/linxiaowu66/swagger-ui.git,14fad2b4c76efe249db515c98432eb609aa77691,CWE-079|CWE-116,CWE-079,src/main/javascript/helpers/handlebars.js,68,fora: repositório inexistente,Client-side cross-site scripting
CVE-2017-0931,guardian/html-janitor,https://github.com/guardian/html-janitor.git,8c99e653a36a85edd740e756d7371ee47a9aee45,CWE-079|CWE-116,CWE-079,src/html-janitor.js,43,analisado,Client-side cross-site scripting
CVE-2017-5954,commenthol/serialize-to-js,https://github.com/commenthol/serialize-to-js.git,a1e8140ed1a07013f644b5b76025f4eaab7fb9d8,CWE-094|CWE-079|CWE-116,CWE-094,lib/deserialize.js,28,analisado,Code injection
CVE-2017-10910,mqttjs/MQTT.js,https://github.com/mqttjs/MQTT.js.git,800a4ddaaec80f3289b1aa249bf67584588611ff,CWE-770,CWE-770,lib/client.js,267,analisado,Resource exhaustion
CVE-2017-15010,salesforce/tough-cookie,https://github.com/salesforce/tough-cookie.git,fcc8abfa3d3cab4f99da38f3f3749b1b186eb5a4,CWE-730|CWE-400,CWE-400,lib/cookie.js,61,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16003,felixrieseberg/windows-build-tools,https://github.com/felixrieseberg/windows-build-tools.git,3a97ea156d07aaccca101ed8f0a1606eea8dfc2d,CWE-829,CWE-829,src/download.js,38,analisado,Download of sensitive file through insecure connection
CVE-2017-16006,jonschlinkert/remarkable,https://github.com/jonschlinkert/remarkable.git,a85cf32cd194d7a12d2155256bd38283e431b26b,CWE-020,CWE-020,lib/parser_inline.js,151,analisado,Incomplete URL scheme check
CVE-2017-16011,jquery/jquery,https://github.com/jquery/jquery.git,452e32769d514d835988c544492e4083df2bc1d6,CWE-079,CWE-079,src/core.js,52,analisado,Cross-site scripting
CVE-2017-16014,http-party/node-http-proxy,https://github.com/http-party/node-http-proxy.git,0c71119ee58ee84068120be72308ecb28cb3e532,CWE-730,CWE-730,lib/node-http-proxy.js,225,analisado,Server crash
CVE-2017-16018,restify/node-restify,https://github.com/restify/node-restify.git,893895137b6a54a21ebf88cabe3f275636ef28d7,CWE-079|CWE-116,CWE-079,lib/server.js,202,analisado,Reflected cross-site scripting
CVE-2017-16023,sindresorhus/decamelize,https://github.com/sindresorhus/decamelize.git,18479821851414d91ad3d42d8560adff5969da4b,CWE-730|CWE-400,CWE-400,index.js,8,analisado,Regular expression injection
CVE-2017-16026,request/request,https://github.com/request/request.git,85f8235c061f8d0d1697066290a34f43120cb77f,CWE-770,CWE-770,lib/multipart.js,71,analisado,Resource exhaustion
CVE-2017-16028,jonschlinkert/randomatic,https://github.com/jonschlinkert/randomatic.git,833f31a5aac0b8c2ddd3ae23ab41a0145c2974d0,CWE-338,CWE-338,index.js,81,analisado,Insecure randomness
CVE-2017-16029,henrytseng/hostr,https://github.com/henrytseng/hostr.git,5827ba48fd4a08c26604b97798c57d45fe1cd51e,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,lib/routes/statics.js,31,analisado,Uncontrolled data used in path expression
CVE-2017-16030,3rd-Eden/useragent,https://github.com/3rd-Eden/useragent.git,50be8cbd7e3b9cbfeaab041de726b5438d07672e,CWE-730|CWE-400,CWE-400,lib/regexps.js,887,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16031,socketio/socket.io,https://github.com/socketio/socket.io.git,fe6dd874437ccd13e4753c03d7a98e5382d0b0d5,CWE-338,CWE-338,lib/manager.js,755,analisado,Insecure randomness
CVE-2017-16034,soyuka/pidusage,https://github.com/soyuka/pidusage.git,e3660d8a8e5e61afad9b02af67356a1e239d6bde,CWE-078|CWE-088,CWE-078,lib/stats.js,103,analisado,Unsafe shell command constructed from library input
CVE-2017-16042,tj/node-growl,https://github.com/tj/node-growl.git,dc8aae046df328edd32dd69f3cd2d6b114d7018e,CWE-078|CWE-088,CWE-078,lib/growl.js,289,analisado,Unsafe shell command constructed from library input
